,instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,hum,windspeed,casual,registered,cnt
146,147,5/27/2011,2,0,5,0,5,1,1,0.681667,0.65375,0.240679,871,3808,4679
147,148,5/28/2011,2,0,5,0,6,0,1,0.655833,0.729583,0.23009200000000002,2001,2757,4758
148,149,5/29/2011,2,0,5,0,0,0,1,0.6675,0.81875,0.21393800000000002,2355,2433,4788
149,150,5/30/2011,2,0,5,1,1,0,1,0.733333,0.685,0.131225,1549,2549,4098
150,151,5/31/2011,2,0,5,0,2,1,1,0.775,0.636667,0.111329,673,3309,3982
151,152,6/1/2011,2,0,6,0,3,1,2,0.764167,0.677083,0.207092,513,3461,3974
152,153,6/2/2011,2,0,6,0,4,1,1,0.715,0.305,0.29228699999999996,736,4232,4968
153,154,6/3/2011,2,0,6,0,5,1,1,0.62,0.354167,0.253121,898,4414,5312
154,155,6/4/2011,2,0,6,0,6,0,1,0.635,0.45625,0.123142,1869,3473,5342
155,156,6/5/2011,2,0,6,0,0,0,2,0.648333,0.6525,0.138692,1685,3221,4906
156,157,6/6/2011,2,0,6,0,1,1,1,0.678333,0.6,0.121896,673,3875,4548
157,158,6/7/2011,2,0,6,0,2,1,1,0.7075,0.597917,0.187808,763,4070,4833
158,159,6/8/2011,2,0,6,0,3,1,1,0.775833,0.6220829999999999,0.136817,676,3725,4401
159,160,6/9/2011,2,0,6,0,4,1,2,0.808333,0.568333,0.149883,563,3352,3915
160,161,6/10/2011,2,0,6,0,5,1,1,0.755,0.605,0.14055399999999998,815,3771,4586
161,162,6/11/2011,2,0,6,0,6,0,1,0.725,0.654583,0.15485,1729,3237,4966
162,163,6/12/2011,2,0,6,0,0,0,1,0.6925,0.747917,0.16356700000000002,1467,2993,4460
163,164,6/13/2011,2,0,6,0,1,1,1,0.635,0.494583,0.30535,863,4157,5020
164,165,6/14/2011,2,0,6,0,2,1,1,0.604167,0.507083,0.269283,727,4164,4891
165,166,6/15/2011,2,0,6,0,3,1,1,0.626667,0.471667,0.16791199999999998,769,4411,5180
166,167,6/16/2011,2,0,6,0,4,1,2,0.628333,0.688333,0.20647100000000002,545,3222,3767
167,168,6/17/2011,2,0,6,0,5,1,1,0.649167,0.735833,0.143029,863,3981,4844
168,169,6/18/2011,2,0,6,0,6,0,1,0.696667,0.670417,0.11940799999999999,1807,3312,5119
